Population,ID,Treatment,Fate,Survival,Longevity,tfc,Total,mar,met,Elevation
Koko,K13A,C,H,1,,,5.1737,746.5,541,85.3
Koko,K14A,C,H,1,,,2.7284,746.5,541,85.3
Koko,K15A,C,H,1,,,4.5673,746.5,541,85.3
Koko,K16A,C,H,1,,,5.3257,746.5,541,85.3
Koko,K17A,C,H,1,,,3.1656,746.5,541,85.3
Koko,K18A,C,H,1,,,5.5584,746.5,541,85.3
Koko,K19A,C,H,1,,,3.1145,746.5,541,85.3
Koko,K20A,C,H,1,,,1.8016,746.5,541,85.3
Koko,K21A,C,H,1,,,3.483,746.5,541,85.3
Koko,K22A,C,H,1,,,7.6558,746.5,541,85.3
Koko,K23A,C,H,1,,,7.8914,746.5,541,85.3
Koko,K24A,C,H,1,,,6.1432,746.5,541,85.3
Koko,K37A,PD,H,0,,,,746.5,541,85.3
Koko,K38A,PD,H,0,,,,746.5,541,85.3
Koko,K39A,PD,H,0,,,,746.5,541,85.3
Koko,K40A,PD,H,0,,,,746.5,541,85.3
Koko,K41A,PD,H,1,,,0.0819,746.5,541,85.3
Koko,K42A,PD,H,0,,,,746.5,541,85.3
Koko,K43A,PD,H,0,,,,746.5,541,85.3
Koko,K44A,PD,H,0,,,,746.5,541,85.3
Koko,K45A,PD,H,0,,,,746.5,541,85.3
Koko,K46A,PD,H,0,,,,746.5,541,85.3
Koko,K47A,PD,H,0,,,,746.5,541,85.3
Koko,K48A,PD,H,0,,,,746.5,541,85.3
Koko,K25A,C,TD,1,14,48.45413508,,746.5,541,85.3
Koko,K26A,C,TD,1,19,31.23669193,,746.5,541,85.3
Koko,K27A,C,TD,1,19,29.03926412,,746.5,541,85.3
Koko,K28A,C,TD,1,14,31.42832808,,746.5,541,85.3
Koko,K29A,C,TD,1,14,31.28353633,,746.5,541,85.3
Koko,K30A,C,TD,1,19,29.25645175,,746.5,541,85.3
Koko,K31A,C,TD,1,19,29.78877438,,746.5,541,85.3
Koko,K32A,C,TD,1,19,29.63546546,,746.5,541,85.3
Koko,K33A,C,TD,1,19,29.558811,,746.5,541,85.3
Koko,K34A,C,TD,1,26,29.63972404,,746.5,541,85.3
Koko,K35A,C,TD,1,19,29.21386594,,746.5,541,85.3
Koko,K36A,C,TD,1,14,30.83212674,,746.5,541,85.3
Koko,K49A,PD,TD,0,,,,746.5,541,85.3
Koko,K50A,PD,TD,0,,,,746.5,541,85.3
