"","Avg mph","site","Time Period Ending"
"1",34,30361338,00:14:00
"2",35,30361338,00:29:00
"3",38,30361338,00:44:00
"4",34,30361338,00:59:00
"5",39,30361338,01:14:00
"6",34,30361338,01:29:00
"7",39,30361338,01:44:00
"8",42,30361338,01:59:00
"9",34,30361338,02:14:00
"10",32,30361338,02:29:00
"11",32,30361338,02:44:00
"12",34,30361338,02:59:00
"13",49,30361338,03:14:00
"14",38,30361338,03:44:00
"15",37,30361338,03:59:00
"16",33,30361338,04:14:00
"17",37,30361338,04:29:00
"18",32,30361338,04:44:00
"19",35,30361338,04:59:00
"20",32,30361338,05:14:00
"21",34,30361338,05:29:00
"22",32,30361338,05:44:00
"23",32,30361338,05:59:00
"24",35,30361338,06:14:00
"25",33,30361338,06:29:00
"26",32,30361338,06:44:00
"27",33,30361338,06:59:00
"28",31,30361338,07:14:00
"29",29,30361338,07:29:00
"30",30,30361338,07:44:00
"31",30,30361338,07:59:00
"32",30,30361338,08:14:00
"33",29,30361338,08:29:00
"34",30,30361338,08:44:00
"35",28,30361338,08:59:00
"36",27,30361338,09:14:00
"37",27,30361338,09:29:00
"38",27,30361338,09:44:00
"39",27,30361338,09:59:00
"40",24,30361338,10:14:00
"41",27,30361338,10:29:00
"42",26,30361338,10:44:00
"43",26,30361338,10:59:00
"44",27,30361338,11:14:00
"45",27,30361338,11:29:00
"46",21,30361338,11:44:00
"47",11,30361338,11:59:00
"48",20,30361338,12:14:00
"49",27,30361338,12:29:00
"50",17,30361338,12:44:00
"51",27,30361338,12:59:00
"52",26,30361338,13:14:00
"53",26,30361338,13:29:00
"54",27,30361338,13:44:00
"55",26,30361338,13:59:00
"56",26,30361338,14:14:00
"57",28,30361338,14:29:00
"58",26,30361338,14:44:00
"59",27,30361338,14:59:00
"60",27,30361338,15:14:00
"61",26,30361338,15:29:00
"62",26,30361338,15:44:00
"63",27,30361338,15:59:00
"64",28,30361338,16:14:00
"65",27,30361338,16:29:00
"66",28,30361338,16:44:00
"67",27,30361338,16:59:00
"68",27,30361338,17:14:00
"69",28,30361338,17:29:00
"70",28,30361338,17:44:00
"71",29,30361338,17:59:00
"72",28,30361338,18:14:00
"73",30,30361338,18:29:00
"74",27,30361338,18:44:00
"75",29,30361338,18:59:00
"76",28,30361338,19:14:00
"77",28,30361338,19:29:00
"78",29,30361338,19:44:00
"79",29,30361338,19:59:00
"80",31,30361338,20:14:00
"81",29,30361338,20:29:00
"82",29,30361338,20:44:00
"83",28,30361338,20:59:00
"84",30,30361338,21:14:00
"85",31,30361338,21:29:00
"86",31,30361338,21:44:00
"87",26,30361338,21:59:00
"88",32,30361338,22:14:00
"89",32,30361338,22:29:00
"90",33,30361338,22:44:00
"91",32,30361338,22:59:00
"92",32,30361338,23:14:00
"93",31,30361338,23:29:00
"94",31,30361338,23:44:00
"95",35,30361338,23:59:00
"96",31,30361338,00:14:00
"97",36,30361338,00:29:00
"98",35,30361338,00:44:00
"99",34,30361338,00:59:00
"100",31,30361338,01:14:00
"101",36,30361338,01:29:00
"102",43,30361338,01:44:00
"103",42,30361338,01:59:00
"104",37,30361338,02:14:00
"105",34,30361338,02:44:00
"106",32,30361338,02:59:00
"107",31,30361338,03:14:00
"108",32,30361338,03:44:00
"109",32,30361338,03:59:00
"110",34,30361338,04:14:00
"111",37,30361338,04:44:00
"112",29,30361338,04:59:00
"113",34,30361338,05:14:00
"114",28,30361338,05:29:00
"115",32,30361338,05:44:00
"116",35,30361338,05:59:00
"117",36,30361338,06:14:00
"118",33,30361338,06:29:00
"119",35,30361338,06:44:00
"120",33,30361338,06:59:00
"121",33,30361338,07:14:00
"122",30,30361338,07:29:00
"123",32,30361338,07:44:00
"124",31,30361338,07:59:00
"125",29,30361338,08:14:00
"126",32,30361338,08:29:00
"127",30,30361338,08:44:00
"128",28,30361338,08:59:00
"129",26,30361338,09:14:00
"130",27,30361338,09:29:00
"131",28,30361338,09:44:00
"132",27,30361338,09:59:00
"133",28,30361338,10:14:00
"134",27,30361338,10:29:00
"135",28,30361338,10:44:00
"136",26,30361338,10:59:00
"137",26,30361338,11:14:00
"138",26,30361338,11:29:00
"139",26,30361338,11:44:00
"140",26,30361338,11:59:00
"141",24,30361338,12:14:00
"142",23,30361338,12:29:00
"143",26,30361338,12:44:00
"144",23,30361338,12:59:00
"145",27,30361338,13:14:00
"146",27,30361338,13:29:00
"147",28,30361338,13:44:00
"148",28,30361338,13:59:00
"149",27,30361338,14:14:00
"150",28,30361338,14:29:00
"151",27,30361338,14:44:00
"152",27,30361338,14:59:00
"153",28,30361338,15:14:00
"154",28,30361338,15:29:00
"155",27,30361338,15:44:00
"156",27,30361338,15:59:00
"157",27,30361338,16:14:00
"158",27,30361338,16:29:00
"159",28,30361338,16:44:00
"160",29,30361338,16:59:00
"161",25,30361338,17:14:00
"162",29,30361338,17:29:00
"163",28,30361338,17:44:00
"164",29,30361338,17:59:00
"165",30,30361338,18:14:00
"166",28,30361338,18:29:00
"167",28,30361338,18:44:00
"168",28,30361338,18:59:00
"169",28,30361338,19:14:00
"170",29,30361338,19:29:00
"171",31,30361338,19:44:00
"172",30,30361338,19:59:00
"173",28,30361338,20:14:00
"174",28,30361338,20:29:00
"175",29,30361338,20:44:00
"176",33,30361338,20:59:00
"177",31,30361338,21:14:00
"178",31,30361338,21:29:00
"179",31,30361338,21:44:00
"180",35,30361338,21:59:00
"181",34,30361338,22:14:00
"182",29,30361338,22:29:00
"183",32,30361338,22:44:00
"184",34,30361338,22:59:00
"185",37,30361338,23:14:00
"186",34,30361338,23:29:00
"187",36,30361338,23:44:00
"188",29,30361338,23:59:00
"189",35,30361338,00:14:00
"190",37,30361338,00:29:00
"191",40,30361338,00:44:00
"192",32,30361338,00:59:00
"193",47,30361338,01:14:00
"194",38,30361338,01:29:00
"195",36,30361338,01:44:00
"196",27,30361338,01:59:00
"197",35,30361338,02:14:00
"198",33,30361338,02:29:00
"199",41,30361338,02:44:00
"200",37,30361338,02:59:00
"201",32,30361338,03:14:00
"202",27,30361338,03:44:00
"203",39,30361338,03:59:00
"204",31,30361338,04:14:00
"205",35,30361338,04:29:00
"206",46,30361338,04:44:00
"207",31,30361338,04:59:00
"208",33,30361338,05:14:00
"209",33,30361338,05:29:00
"210",33,30361338,05:44:00
