"","fiscal_year","encounter_count"
"1",2020,2
"2",2020,2
"3",2020,153
"4",2020,1
"5",2020,0
"6",2020,1
"7",2020,1
"8",2020,3
"9",2020,1
"10",2020,1
"11",2020,1
"12",2020,43
"13",2020,1
"14",2020,1
"15",2020,1
"16",2020,2
"17",2020,5
"18",2020,3
"19",2020,8
"20",2020,1
"21",2020,0
"22",2020,4
"23",2020,1
"24",2020,1
"25",2020,3
"26",2020,18
"27",2020,1
"28",2020,52
"29",2020,1
"30",2020,2
"31",2020,1
"32",2020,2
"33",2020,1
"34",2020,1
"35",2020,1
"36",2020,2
"37",2020,23
"38",2020,1
"39",2020,1
"40",2020,3
"41",2020,1
"42",2020,1
"43",2020,86
"44",2020,1
"45",2020,3
"46",2020,3
"47",2020,1
"48",2020,3
"49",2020,4
"50",2020,20
"51",2020,3
"52",2020,1
"53",2020,1
"54",2020,4
"55",2020,1
"56",2020,6
"57",2020,1
"58",2020,4
"59",2020,1
"60",2020,15
"61",2020,34
"62",2020,52
"63",2020,53
"64",2020,1
"65",2020,20
"66",2020,8
"67",2020,55
"68",2020,8
"69",2020,17
"70",2020,49
"71",2020,14
"72",2020,5
"73",2020,1
"74",2020,100
"75",2020,3
"76",2020,3
"77",2020,7
"78",2020,362
"79",2020,51
"80",2020,26
"81",2020,272
"82",2020,2
"83",2020,626
"84",2020,15
"85",2020,56
"86",2020,29
"87",2020,151
"88",2020,1
"89",2020,2
"90",2020,2
"91",2020,154
"92",2020,11
"93",2020,1
"94",2020,3
"95",2020,3
"96",2020,29
"97",2020,3
"98",2020,1
"99",2020,1
"100",2020,3
"101",2020,5
"102",2020,11
"103",2020,4
"104",2020,5
"105",2020,5
"106",2020,1
"107",2020,13
"108",2020,17
"109",2020,23
"110",2020,5
"111",2020,15
"112",2020,6
"113",2020,72
"114",2020,22
"115",2020,10
"116",2020,21
"117",2020,174
"118",2020,33
"119",2020,332
"120",2020,3
"121",2020,18
"122",2020,1
"123",2020,131
"124",2020,11
"125",2020,1
"126",2020,1
"127",2020,16
"128",2020,1
"129",2020,3
"130",2020,4
"131",2020,7
"132",2020,19
"133",2020,2
"134",2020,4
"135",2020,1
"136",2020,1
"137",2020,13
"138",2020,1
"139",2020,1
"140",2020,4
"141",2020,7
"142",2020,21
"143",2020,2
"144",2020,1
"145",2020,19
"146",2020,9
"147",2020,1
"148",2020,16
"149",2020,1
"150",2020,16
"151",2020,1
"152",2020,19
"153",2020,16
"154",2020,16
"155",2020,1
"156",2020,61
"157",2020,16
"158",2020,2
"159",2020,9
"160",2020,3
"161",2020,10
"162",2020,3
"163",2020,1
"164",2020,12
"165",2020,2
"166",2020,1
"167",2020,2
"168",2020,2
"169",2020,1
"170",2020,4
"171",2020,1
"172",2020,1
"173",2020,1
"174",2020,7
"175",2020,2
"176",2020,14
"177",2020,2
"178",2020,2
"179",2020,5
"180",2020,4
"181",2020,1
"182",2020,1
"183",2020,14
"184",2020,1
"185",2020,1
"186",2020,1
"187",2020,4
"188",2020,1
"189",2020,13
"190",2020,28
"191",2020,3
"192",2020,1
"193",2020,1
"194",2020,3
"195",2020,63
"196",2020,2
"197",2020,3
"198",2020,10
"199",2020,1
"200",2020,3
"201",2020,9
"202",2020,1
"203",2020,34
"204",2020,2
"205",2020,14
"206",2020,2
"207",2020,1
"208",2020,1
"209",2020,1
"210",2020,4
"211",2020,43
"212",2020,1
"213",2020,40
"214",2020,2
"215",2020,1
"216",2020,1
"217",2020,8
"218",2020,5
"219",2020,71
"220",2020,40
"221",2020,11
"222",2020,6
"223",2020,6
"224",2020,23
"225",2020,2
"226",2020,14
"227",2020,19
"228",2020,281
"229",2020,6
"230",2020,8
"231",2020,1
"232",2020,19
"233",2020,1223
"234",2020,275
"235",2020,94
"236",2020,1023
"237",2020,15
"238",2020,2775
"239",2020,71
"240",2020,397
"241",2020,86
"242",2020,480
"243",2020,8
"244",2020,92
"245",2020,32
"246",2020,33
"247",2020,62
"248",2020,463
"249",2020,4
"250",2020,22
"251",2020,23
"252",2020,66
"253",2020,1
"254",2020,15
"255",2020,3
"256",2020,5
"257",2020,7
"258",2020,22
"259",2020,1
"260",2020,5
"261",2020,144
"262",2020,20
"263",2020,1
"264",2020,20
"265",2020,54
"266",2020,170
"267",2020,10
"268",2020,2
"269",2020,1
"270",2020,5
"271",2020,4
"272",2020,7
"273",2020,2
"274",2020,3
"275",2020,30
"276",2020,17
"277",2020,66
"278",2020,13
"279",2020,5
"280",2020,5
"281",2020,2
"282",2020,2
"283",2020,5
"284",2020,13
"285",2020,41
"286",2020,20
"287",2020,41
"288",2020,6
"289",2020,265
"290",2020,14
"291",2020,175
"292",2020,8
"293",2020,4
"294",2020,1882
"295",2020,178
"296",2020,2
"297",2020,1
"298",2020,3
"299",2020,20
"300",2020,2
"301",2020,2
"302",2020,1
"303",2020,14
"304",2020,10
"305",2020,6
"306",2020,120
"307",2020,2
"308",2020,2
"309",2020,1
"310",2020,3
"311",2020,4
"312",2020,5
"313",2020,2
"314",2020,3
"315",2020,3
"316",2020,8
"317",2020,38
"318",2020,1
"319",2020,4
"320",2020,1
"321",2020,1
"322",2020,5
"323",2020,1
"324",2020,3
"325",2020,1
"326",2020,33
"327",2020,2
"328",2020,51
"329",2020,6
"330",2020,67
"331",2020,1
"332",2020,9
"333",2020,3347
"334",2020,148
"335",2020,5
"336",2020,2
"337",2020,3
"338",2020,96
"339",2020,2
"340",2020,2
"341",2020,1
"342",2020,8
"343",2020,76
"344",2020,9
"345",2020,3
"346",2020,5
"347",2020,4
"348",2020,6
"349",2020,5
"350",2020,14
"351",2020,2
"352",2020,2
"353",2020,22
"354",2020,8
"355",2020,47
"356",2020,16
"357",2020,117
"358",2020,58
"359",2020,33
"360",2020,4
"361",2020,98
"362",2020,10
"363",2020,72
"364",2020,5
"365",2020,504
"366",2020,43
"367",2020,1
"368",2020,1
"369",2020,1
"370",2020,1
"371",2020,2
"372",2020,1
"373",2020,1
"374",2020,53
"375",2020,1
"376",2020,1
"377",2020,0
"378",2020,11
"379",2020,3
"380",2020,4
"381",2020,3
"382",2020,36
"383",2020,12
"384",2020,45
"385",2020,38
"386",2020,6
"387",2020,8
"388",2020,153
"389",2020,7
"390",2020,146
"391",2020,10
"392",2020,2
"393",2020,1
"394",2020,6
"395",2020,30
"396",2020,10
"397",2020,3
"398",2020,30
"399",2020,40
"400",2020,255
"401",2020,119
"402",2020,346
"403",2020,14
"404",2020,722
"405",2020,15
"406",2020,1
"407",2020,1273
"408",2020,45
"409",2020,12
"410",2020,4655
"411",2020,399
"412",2020,47
"413",2020,26
"414",2020,5
"415",2020,36
"416",2020,14
"417",2020,4
"418",2020,2
"419",2020,3
"420",2020,4
"421",2020,15
"422",2020,4
"423",2020,67
"424",2020,2
"425",2020,49
"426",2020,4
"427",2020,4
"428",2020,267
"429",2020,5
"430",2020,2
"431",2020,1
"432",2020,2
"433",2020,1
"434",2020,1
"435",2020,0
"436",2020,3
"437",2020,0
"438",2020,4
"439",2020,12
"440",2020,741
"441",2020,1
"442",2020,1
"443",2020,5
"444",2020,0
"445",2020,10
"446",2020,1
"447",2020,14
"448",2020,1
"449",2020,0
"450",2020,1
"451",2020,2
"452",2020,0
"453",2020,2
"454",2020,0
"455",2020,10
"456",2020,13
"457",2020,126
"458",2020,1
"459",2020,1
"460",2020,2
"461",2020,2
"462",2020,3
"463",2020,6
"464",2020,7
"465",2020,14
"466",2020,12
"467",2020,1
"468",2020,2
"469",2020,0
"470",2020,1
"471",2020,1
"472",2020,4
"473",2020,2
"474",2020,3
"475",2020,0
"476",2020,6
"477",2020,1
"478",2020,0
"479",2020,2
"480",2020,0
"481",2020,3
"482",2020,0
"483",2020,6
"484",2020,14
"485",2020,1
"486",2020,0
"487",2020,4
"488",2020,0
"489",2020,24
"490",2020,0
"491",2020,8
"492",2020,0
"493",2020,1
"494",2020,0
"495",2020,4
"496",2020,15
"497",2020,12
"498",2020,0
"499",2020,2
"500",2020,0
"501",2020,23
"502",2020,0
"503",2020,4
"504",2020,4
"505",2020,2
"506",2020,9
"507",2020,1
"508",2020,2
"509",2020,0
"510",2020,2
"511",2020,0
"512",2020,22
"513",2020,1
"514",2020,4
"515",2020,24
"516",2020,3
"517",2020,14
"518",2020,3
"519",2020,2
"520",2020,3
"521",2020,120
"522",2020,195
"523",2020,6
"524",2020,6
"525",2020,3
"526",2020,2
"527",2020,6
"528",2020,1
"529",2020,1
"530",2020,0
"531",2020,4
"532",2020,1
"533",2020,0
"534",2020,3
"535",2020,3
"536",2020,15
"537",2020,62
"538",2020,23
"539",2020,5
"540",2020,6
"541",2020,104
"542",2020,52
"543",2020,1
"544",2020,1
"545",2020,0
"546",2020,1
"547",2020,0
"548",2020,1
"549",2020,2
"550",2020,4
"551",2020,1
"552",2020,3
"553",2020,0
"554",2020,1
"555",2020,0
"556",2020,1
"557",2020,0
"558",2020,3
"559",2020,0
"560",2020,1
"561",2020,0
"562",2020,4
"563",2020,2
"564",2020,0
"565",2020,6
"566",2020,391
"567",2020,5
"568",2020,0
"569",2020,2
"570",2020,7
"571",2020,2
"572",2020,1
"573",2020,2
"574",2020,1
"575",2020,2
"576",2020,5
"577",2020,0
"578",2020,2
"579",2020,18
"580",2020,5
"581",2020,1
"582",2020,3
"583",2020,0
"584",2020,3
"585",2020,0
"586",2020,2
"587",2020,0
"588",2020,4
"589",2020,12
"590",2020,30
"591",2020,5
"592",2020,0
"593",2020,1
"594",2020,1
"595",2020,8
"596",2020,5
"597",2020,4
"598",2020,7
"599",2020,16
"600",2020,5
"601",2020,1
"602",2020,1
"603",2020,1
"604",2020,2
"605",2020,2
"606",2020,1
"607",2020,29
"608",2020,12
"609",2020,52
"610",2020,162
"611",2020,11
"612",2020,74
"613",2020,15
"614",2020,5
"615",2020,20
"616",2020,41
"617",2020,11
"618",2020,10
"619",2020,87
"620",2020,9
"621",2020,18
"622",2020,11
"623",2020,4
"624",2020,27
"625",2020,7
"626",2020,99
"627",2020,2
"628",2020,3
"629",2020,2
"630",2020,5
"631",2020,274
"632",2020,530
"633",2020,23
"634",2020,386
"635",2020,1
"636",2020,994
"637",2020,16
"638",2020,59
"639",2020,14
"640",2020,142
"641",2020,4
"642",2020,1
"643",2020,3
"644",2020,1
"645",2020,1
"646",2020,2
"647",2020,1
"648",2020,20
"649",2020,1
"650",2020,1
"651",2020,2
"652",2020,1
"653",2020,3
"654",2020,8
"655",2020,1
"656",2020,373
"657",2020,7
"658",2020,1
"659",2020,2
"660",2020,4
"661",2020,5
"662",2020,3
"663",2020,123
"664",2020,1
"665",2020,5
"666",2020,1
"667",2020,1
"668",2020,1
"669",2020,9
"670",2020,10
"671",2020,3
"672",2020,10
"673",2020,12
"674",2020,4
"675",2020,1
"676",2020,7
"677",2020,2
"678",2020,2
"679",2020,2
"680",2020,2
"681",2020,10
"682",2020,2
"683",2020,4
"684",2020,3
"685",2020,18
"686",2020,1
"687",2020,49
"688",2020,36
"689",2020,25
"690",2020,47
"691",2020,3
"692",2020,25
"693",2020,43
"694",2020,33
"695",2020,12
"696",2020,36
"697",2020,28
"698",2020,29
"699",2020,236
"700",2020,1
"701",2020,72
"702",2020,3
"703",2020,7
"704",2020,8
"705",2020,45
"706",2020,28
"707",2020,4
"708",2020,3
"709",2020,3
"710",2020,2
"711",2020,2
"712",2020,1
"713",2020,16
"714",2020,1
"715",2020,1
"716",2020,3
"717",2020,15
"718",2020,101
"719",2020,3
"720",2020,74
"721",2020,1
"722",2020,62
"723",2020,1
"724",2020,11
"725",2020,1
"726",2020,10
"727",2020,2
"728",2020,1
"729",2020,2
"730",2020,3
"731",2020,1
"732",2020,2
"733",2020,4
"734",2020,3
"735",2020,4
"736",2020,1
"737",2020,3
"738",2020,34
"739",2020,15
"740",2020,1
"741",2020,2
"742",2020,1
"743",2020,1
"744",2020,1
"745",2020,14
"746",2020,196
"747",2020,83
"748",2020,4
"749",2020,4
"750",2020,9
"751",2020,1
"752",2020,7
"753",2020,1
"754",2020,2
"755",2020,3
"756",2020,2
"757",2020,481
"758",2020,4
"759",2020,84
"760",2020,5
"761",2020,59
"762",2020,142
"763",2020,11
"764",2020,640
"765",2020,6
"766",2020,45
"767",2020,47
"768",2020,77
"769",2020,1
"770",2020,1
"771",2020,39
"772",2020,1
"773",2020,6
"774",2020,2
"775",2020,1
"776",2020,2
"777",2020,25
"778",2020,7
"779",2020,2
"780",2020,1
"781",2020,2
"782",2020,9
"783",2020,8
"784",2020,2
"785",2020,4
"786",2020,1
"787",2020,2
"788",2020,10
"789",2020,6
"790",2020,15
"791",2020,1
"792",2020,2
"793",2020,4
"794",2020,28
"795",2020,1
"796",2020,2
"797",2020,12
"798",2020,3
"799",2020,2
"800",2020,2
"801",2020,3
"802",2020,4
"803",2020,73
"804",2020,1
"805",2020,56
"806",2020,2
"807",2020,23
"808",2020,72
"809",2020,145
"810",2020,3
"811",2020,43
"812",2020,11
"813",2020,39
"814",2020,1
"815",2020,69
"816",2020,7
"817",2020,3
"818",2020,39
"819",2020,2
"820",2020,16
"821",2020,1
"822",2020,6
"823",2020,15
"824",2020,54
"825",2020,4
"826",2020,1
"827",2020,5
"828",2020,1
"829",2020,2
"830",2020,1
"831",2020,1
"832",2020,1
"833",2020,2
"834",2020,2
"835",2020,2
"836",2020,1
"837",2020,8
"838",2020,14
"839",2020,8
"840",2020,2
"841",2020,23
"842",2020,4
"843",2020,1
"844",2020,1
"845",2020,4
"846",2020,28
"847",2020,12
"848",2020,117
"849",2020,27
"850",2020,1
"851",2020,5
"852",2020,37
"853",2020,15
"854",2020,5
"855",2020,1
"856",2020,8
"857",2020,9
"858",2020,2
"859",2020,1
"860",2020,2
"861",2020,9
"862",2020,1
"863",2020,10
"864",2020,10
"865",2020,4
"866",2020,1
"867",2020,4
"868",2020,355
"869",2020,4
"870",2020,15
"871",2020,2
"872",2020,3
"873",2020,22
"874",2020,1015
"875",2020,368
"876",2020,26
"877",2020,1
"878",2020,355
"879",2020,122
"880",2020,924
"881",2020,38
"882",2020,91
"883",2020,45
"884",2020,97
"885",2020,6
"886",2020,1
"887",2020,104
"888",2020,97
"889",2020,71
"890",2020,56
"891",2020,369
"892",2020,4
"893",2020,21
"894",2020,7
"895",2020,40
"896",2020,3
"897",2020,3
"898",2020,1
"899",2020,22
"900",2020,11
"901",2020,3
"902",2020,43
"903",2020,60
"904",2020,5
"905",2020,62
"906",2020,9
"907",2020,22
"908",2020,15
"909",2020,2
"910",2020,201
"911",2020,38
"912",2020,64
"913",2020,7
"914",2020,52
"915",2020,133
"916",2020,1
"917",2020,9
"918",2020,7
"919",2020,1
"920",2020,5
"921",2020,1
"922",2020,11
"923",2020,0
"924",2020,10
"925",2020,27
"926",2020,17
"927",2020,23
"928",2020,2
"929",2020,175
"930",2020,12
"931",2020,52
"932",2020,87
"933",2020,19
"934",2020,2
"935",2020,2
"936",2020,23
"937",2020,58
"938",2020,6
"939",2020,36
"940",2020,69
"941",2020,11
"942",2020,768
"943",2020,91
"944",2020,142
"945",2020,24
"946",2020,4467
"947",2020,922
"948",2020,5
"949",2020,3
"950",2020,3
"951",2020,2
"952",2020,6
"953",2020,0
"954",2020,1
"955",2020,1
"956",2020,1
"957",2020,2
"958",2020,4
"959",2020,2
"960",2020,7
"961",2020,128
"962",2020,20
"963",2020,11
"964",2020,2
"965",2020,377
"966",2020,14
"967",2020,1
"968",2020,1
"969",2020,0
"970",2020,19
"971",2020,3
"972",2020,1
"973",2020,4
"974",2020,27
"975",2020,3
"976",2020,3
"977",2020,5
"978",2020,3
"979",2020,1
"980",2020,11
"981",2020,3
"982",2020,195
"983",2020,22
"984",2020,29
"985",2020,11
"986",2020,7
"987",2020,2
"988",2020,1
"989",2020,2
"990",2020,1
"991",2020,2
"992",2020,2
"993",2020,14
"994",2020,57
"995",2020,1
"996",2020,46
"997",2020,9
"998",2020,54
"999",2020,10
"1000",2020,3
"1001",2020,74
"1002",2020,3
"1003",2020,2
"1004",2020,9309
"1005",2020,389
"1006",2020,3
"1007",2020,2
"1008",2020,8
"1009",2020,62
"1010",2020,1
"1011",2020,0
"1012",2020,4
"1013",2020,1
"1014",2020,1
"1015",2020,2
"1016",2020,3
"1017",2020,1
"1018",2020,2
"1019",2020,5
"1020",2020,1
"1021",2020,377
"1022",2020,36
"1023",2020,1
"1024",2020,48
"1025",2020,15
"1026",2020,10
"1027",2020,18
"1028",2020,2
"1029",2020,3
"1030",2020,36
"1031",2020,32
"1032",2020,52
"1033",2020,14
"1034",2020,2
"1035",2020,1
"1036",2020,15
"1037",2020,934
"1038",2020,284
"1039",2020,121
"1040",2020,123
"1041",2020,93
"1042",2020,6
"1043",2020,242
"1044",2020,32
"1045",2020,1
"1046",2020,167
"1047",2020,10
"1048",2020,1988
"1049",2020,194
"1050",2020,15
"1051",2020,5
"1052",2020,1
"1053",2020,2
"1054",2020,1
"1055",2020,1
"1056",2020,1
"1057",2020,6
"1058",2020,3
"1059",2020,4
"1060",2020,1
"1061",2020,28
"1062",2020,3
"1063",2020,3
"1064",2020,224
"1065",2020,7
"1066",2020,1
"1067",2020,0
"1068",2020,2
"1069",2020,0
"1070",2020,40
"1071",2020,16
"1072",2020,2
"1073",2020,0
"1074",2020,1
"1075",2020,29
"1076",2020,38
"1077",2020,13
"1078",2020,10
"1079",2020,129
"1080",2020,11
"1081",2020,227
"1082",2020,16
"1083",2020,12
"1084",2020,31
"1085",2020,409
"1086",2020,61
"1087",2020,594
"1088",2020,43
"1089",2020,9
"1090",2020,11
"1091",2020,3
"1092",2020,46
"1093",2020,12
"1094",2020,10
"1095",2020,13
"1096",2020,1
"1097",2020,11
"1098",2020,1
"1099",2020,0
"1100",2020,2
"1101",2020,10
"1102",2020,278
"1103",2020,318
"1104",2020,113
"1105",2020,187
"1106",2020,872
"1107",2020,50
"1108",2020,1846
"1109",2020,54
"1110",2020,1
"1111",2020,2555
"1112",2020,89
"1113",2020,8
"1114",2020,15299
"1115",2020,1333
"1116",2020,25
"1117",2020,35
"1118",2020,14
"1119",2020,35
"1120",2020,2
"1121",2020,1
"1122",2020,2
"1123",2020,1
"1124",2020,5
"1125",2020,12
"1126",2020,7
"1127",2020,1
"1128",2020,3
"1129",2020,13
"1130",2020,74
"1131",2020,59
"1132",2020,260
"1133",2020,137
"1134",2020,1
"1135",2020,221
"1136",2020,151
"1137",2020,866
"1138",2020,15
"1139",2020,1
"1140",2020,8
"1141",2020,2
"1142",2020,7
"1143",2020,4
"1144",2020,5
"1145",2020,723
"1146",2020,1
"1147",2020,1
"1148",2020,2
"1149",2020,6
"1150",2020,60
"1151",2020,5
"1152",2020,1
"1153",2020,2
"1154",2020,1
"1155",2020,1
"1156",2020,2
"1157",2020,3
"1158",2020,7
"1159",2020,3
"1160",2020,9
"1161",2020,1
"1162",2020,275
"1163",2020,14
"1164",2020,4
"1165",2020,1
"1166",2020,1
"1167",2020,7
"1168",2020,1
"1169",2020,75
"1170",2020,21
"1171",2020,85
"1172",2020,2
"1173",2020,9
"1174",2020,3
"1175",2020,2
"1176",2020,6
"1177",2020,1
"1178",2020,7
"1179",2020,3
"1180",2020,1
"1181",2020,5
"1182",2020,4
"1183",2020,1
"1184",2020,1
"1185",2020,1
"1186",2020,5
"1187",2020,48
"1188",2020,2
"1189",2020,2
"1190",2020,3
"1191",2020,17
"1192",2020,1
"1193",2020,2
"1194",2020,3
"1195",2020,2
"1196",2020,4
"1197",2020,7
"1198",2020,2
"1199",2020,27
"1200",2020,20
"1201",2020,1
"1202",2020,1
"1203",2020,1
"1204",2020,66
"1205",2020,16
"1206",2020,48
"1207",2020,16
"1208",2020,3
"1209",2020,2
"1210",2020,3
"1211",2020,3
"1212",2020,3
"1213",2020,1
"1214",2020,1
"1215",2020,1
"1216",2020,19
"1217",2020,3
"1218",2020,5
"1219",2020,5
"1220",2020,52
"1221",2020,8
"1222",2020,3
"1223",2020,6
"1224",2020,5
"1225",2020,617
"1226",2020,42
"1227",2020,9
"1228",2020,1
"1229",2020,1
"1230",2020,4
"1231",2020,4
"1232",2020,8
"1233",2020,4
"1234",2020,84
"1235",2020,35
"1236",2020,274
"1237",2020,1
"1238",2020,5
"1239",2020,5
"1240",2020,4
"1241",2020,6
"1242",2020,4
"1243",2020,12
"1244",2020,2
"1245",2020,1
"1246",2020,2
"1247",2020,1
"1248",2020,2
"1249",2020,3
"1250",2020,1
"1251",2020,5
"1252",2020,4
"1253",2020,3
"1254",2020,4
"1255",2020,4
"1256",2020,4
"1257",2020,25
"1258",2020,14
"1259",2020,230
"1260",2020,1
"1261",2020,5
"1262",2020,6
"1263",2020,2
"1264",2020,4
"1265",2020,1
"1266",2020,18
"1267",2020,5
"1268",2020,192
"1269",2020,1
"1270",2020,3
"1271",2020,2
"1272",2020,1
"1273",2020,1
"1274",2020,1
"1275",2020,3
"1276",2020,3
"1277",2020,2
"1278",2020,6
"1279",2020,2
"1280",2020,22
"1281",2020,184
"1282",2020,29
"1283",2020,1
"1284",2020,2
"1285",2020,1
"1286",2020,54
"1287",2020,37
"1288",2020,145
"1289",2020,2
"1290",2020,1
"1291",2020,2
"1292",2020,3
"1293",2020,2
"1294",2020,41
"1295",2020,15
"1296",2020,7
"1297",2020,6
"1298",2020,4
"1299",2020,1
"1300",2020,22
"1301",2020,2
"1302",2020,7
"1303",2020,3
"1304",2020,13
"1305",2020,11
"1306",2020,72
"1307",2020,19
"1308",2020,53
"1309",2020,5
"1310",2020,1
"1311",2020,3
"1312",2020,4
"1313",2020,6
"1314",2020,3
"1315",2020,11
"1316",2020,27
"1317",2020,3
"1318",2020,7
"1319",2020,20
"1320",2020,3
"1321",2020,214
"1322",2020,27
"1323",2020,5
"1324",2020,10
"1325",2020,10
"1326",2020,7
"1327",2020,121
"1328",2020,131
"1329",2020,30
"1330",2020,7
"1331",2020,498
"1332",2020,7
"1333",2020,397
"1334",2020,10
"1335",2020,17
"1336",2020,6
"1337",2020,35
"1338",2020,3
"1339",2020,1
"1340",2020,1
"1341",2020,1
"1342",2020,1
"1343",2020,3
"1344",2020,2
"1345",2020,2
"1346",2020,7
"1347",2020,3
"1348",2020,1
"1349",2020,1
"1350",2020,13
"1351",2020,4
"1352",2020,4
"1353",2020,1
"1354",2020,1
"1355",2020,2
"1356",2020,2
"1357",2020,22
"1358",2020,2
"1359",2020,6
"1360",2020,575
"1361",2020,16
"1362",2020,8
"1363",2020,1
"1364",2020,1
"1365",2020,1
"1366",2020,101
"1367",2020,10
"1368",2020,378
"1369",2020,2
"1370",2020,3
"1371",2020,2
"1372",2020,1
"1373",2020,2
"1374",2020,6
"1375",2020,1
"1376",2020,1
"1377",2020,23
"1378",2020,16
"1379",2020,1
"1380",2020,21
"1381",2020,87
"1382",2020,20
"1383",2020,6
"1384",2020,14
"1385",2020,8
"1386",2020,2
"1387",2020,1
"1388",2020,3
"1389",2020,3
"1390",2020,2
"1391",2020,3
"1392",2020,73
"1393",2020,18
"1394",2020,24
"1395",2020,115
"1396",2020,38
"1397",2020,10
"1398",2020,44
"1399",2020,47
"1400",2020,28
"1401",2020,87
"1402",2020,47
"1403",2020,78
"1404",2020,12
"1405",2020,24
"1406",2020,417
"1407",2020,32
"1408",2020,110
"1409",2020,2
"1410",2020,14
"1411",2020,3
"1412",2020,12
"1413",2020,82
"1414",2020,6
"1415",2020,2
"1416",2020,1
"1417",2020,1
"1418",2020,4
"1419",2020,3
"1420",2020,2
"1421",2020,3
"1422",2020,2
"1423",2020,2
"1424",2020,1
"1425",2020,16
"1426",2020,8
"1427",2020,3
"1428",2020,1
"1429",2020,9
"1430",2020,8
"1431",2020,16
"1432",2020,2
"1433",2020,58
"1434",2020,48
"1435",2020,3
"1436",2020,9
"1437",2020,2
"1438",2020,1
"1439",2020,17
"1440",2020,23
"1441",2020,2
"1442",2020,2
"1443",2020,4
"1444",2020,1
"1445",2020,8
"1446",2020,2
"1447",2020,1
"1448",2020,1
"1449",2020,4
"1450",2020,1
"1451",2020,39
"1452",2020,26
"1453",2020,1
"1454",2020,1
"1455",2020,1
"1456",2020,1
"1457",2020,2
"1458",2020,3
"1459",2020,2
"1460",2020,6
"1461",2020,15
"1462",2020,12
"1463",2020,3
"1464",2020,14
"1465",2020,2
"1466",2020,10
"1467",2020,6
"1468",2020,3
"1469",2020,16
"1470",2020,69
"1471",2020,1
"1472",2020,104
"1473",2020,3
"1474",2020,6
"1475",2020,3
