"","year","lat","long","mass","class"
"1",2001,13.66033,28.96,700,"LL5"
"2",2002,45.82133,6.01533,252,"Eucrite-mmict"
"3",2008,20.74575,32.41275,3950,"Ureilite-an"
"4",2009,31.805,-97.01,9500,"L6"
"5",2006,15.78333,-5.9,29560,"H5"
"6",2004,32.25,-8.15,25000,"LL6"
"7",2001,32.86667,10.8,19000,"L6"
"8",2002,30,-7,45000,"LL6"
"9",2008,-31.91,-58.32833,270,"L6"
"10",2004,40.30583,-105.02325,960,"Eucrite-mmict"
"11",2002,26.50833,73.11528,678,"LL6"
"12",2003,17.71067,-11.3715,190,"L6"
"13",2001,39.77978,64.60035,5300,"CV3"
"14",2007,-31.35,129.19,324,"Eucrite"
"15",2008,52.996,-109.84817,41000,"H4"
"16",2007,3.405,-76.51,478,"H/L4"
"17",2007,-16.66444,-69.04389,342,"H4-5"
"18",2007,23.69639,-5.01472,1e+05,"H5"
"19",2008,-1.87089,-79.95756,6580,"L5"
"20",2001,26.68333,93.86667,12500,"H5"
"21",2001,19,81,12000,"H3.8"
"22",2007,37.35172,27.32997,3396,"H3-5"
"23",2009,43.2,-79.61667,215,"H5"
"24",2003,34.45,132.38333,414,"H5"
"25",2003,1.345,31.47278,167.7,"H6"
"26",2010,26.46469,106.63241,1600,"H5"
"27",2009,46.42137,14.05217,3667,"L6"
"28",2006,22.68,70.31333,100,"L5"
"29",2004,20.33916,73.22329,1600,"L5/6"
"30",2003,29.58333,77.58333,16820,"H4"
"31",2006,25.14333,75.81333,6800,"Iron, IIE-an"
"32",2008,36.54194,29.41822,5760,"L4"
"33",2003,20.4625,86.70278,6669.2,"H4-5"
"34",2002,12.76667,9.8,19000,"LL6"
"35",2010,48.76367,21.17633,4300,"H5"
"36",2010,38.70066,-77.21163,329.7,"L6"
"37",2007,27.66667,95.78333,70500,"H4/5"
"38",2004,12.83333,9.38333,4629,"H5/6"
"39",2009,54.76183,11.46745,25.81,"CM2"
"40",2002,-14.2,48.1,6000,"L6"
"41",2010,0,0,24.54,"H5"
"42",2010,42.9075,-90.36556,3584,"L5"
"43",2000,49.6,18.53333,633,"H5"
"44",2006,59.43333,10.7,3763,"CO3.6"
"45",2002,47.525,10.80833,6189,"EL6"
"46",2003,29.94718,-90.10976,19256,"H5"
"47",2004,28.5475,-81.36222,180,"Eucrite"
"48",2003,12.9,0.08,4440,"L5"
"49",2003,24.3,-13.1,17000,"H3-5"
"50",2003,41.48472,-87.67917,18000,"L5"
"51",2008,45.275,26.70972,6913,"L5-6"
"52",2007,39.35,-3.51667,500,"Eucrite-br"
"53",2007,38.13742,-119.75812,18.41,"H5"
"54",2002,43.66667,13,237,"L6"
"55",2008,-31.535556,-68.489444,4000,"L6"
"56",2008,12.66667,78.03333,110000,"LL6"
"57",2000,59.70444,-134.20139,10000,"C2-ung"
"58",2008,31.16333,-7.015,1e+05,"H5"
"59",2002,-29.33333,27.58333,45300,"H4/5"
"60",2010,-20.85001,-41.73356,2500,"L5"
"61",2004,42.8,-4.66667,3500,"L6"
"62",2006,32.79732,21.78713,4000,"H5"
"63",2009,31.96185,-110.434183,2138.74,"H5"
"64",2000,13.71111,45.17,5700,"H5"
"65",2008,22.72192,48.95937,194.34,"H3.8"
"66",2001,27.5455,4.06117,157,"H5"
"67",2001,27.55917,4.093,25,"L5"
"68",2001,27.503,3.8795,117,"LL5"
"69",2001,27.50083,3.86983,69,"CR2"
"70",2001,27.73333,4.43333,745.22,"H5"
"71",2001,27.73333,4.21667,180.07,"CV3"
"72",2001,27.58333,4.1,30000,"L4/5"
"73",2001,27.65,4.03333,490,"L6"
"74",2001,27.58333,4.01667,750,"CM2"
"75",2001,27.73333,4.13333,115.02,"CO3"
"76",2001,27.56667,4.06667,489,"CO3"
"77",2002,27.65,4.38333,211.25,"L6"
"78",2002,27.73333,4.43333,261,"H4"
"79",2002,27.61667,4.06667,19400,"L3.8"
"80",2002,27.68333,4.26667,360,"L3.8"
"81",2002,27.71667,4.26667,377.6,"H6"
"82",2002,27.55,4.2,400,"H5"
"83",2002,27.58333,4.3,173.15,"L5"
"84",2002,27.46667,3.83333,132,"L3"
"85",2002,27.59056,4.66278,1276,"L6"
"86",2002,27.619722,4.265,140,"H3-5"
"87",2002,27.73333,4.19833,410,"H3"
"88",2002,27.46472,3.81417,53,"LL5"
"89",2002,27.59056,4.66278,546,"LL6"
"90",2001,27.68333,4.3,1165,"L3"
"91",2001,27.97933,4.27817,8750,"L5"
"92",2001,27.84067,4.31433,298,"H6"
"93",2001,27.672,4.52633,128,"H4"
"94",2001,27.7,4.13333,211,"L6"
"95",2001,27.76667,4.01667,873,"L5"
"96",2001,27.48917,3.89,11935,"Eucrite-cm"
"97",2001,27.5005,3.88233,252,"LL5"
"98",2002,27.58967,3.781,161,"LL5"
"99",2002,27.61233,4.5285,120,"EL6"
"100",2001,27.50083,4.87467,62,"LL5"
"101",2002,27.76667,4.41667,70,"H6"
"102",2002,27.7,4.48333,67,"H6"
"103",2002,27.48333,3.76667,68,"Ureilite"
"104",2002,27.42958,3.87135,138,"H4"
"105",2002,27.4778,3.70165,242.8,"H5"
"106",2002,27.58163,4.29388,389.9,"LL4"
"107",2002,27.7,4.51667,656,"LL6"
"108",2002,27.60933,3.93567,1456,"L5"
"109",2002,26.60933,3.93567,1456,"CH3"
"110",2002,27.68433,4.42917,410,"H5"
"111",2002,27.68883,4.386,126,"H4"
"112",2002,27.667,4.64833,122,"H4"
"113",2002,27.6725,4.35667,129,"Chondrite-ung"
"114",2002,27.67817,4.46533,9608,"L5"
"115",2002,26.61167,3.887,238,"LL6"
"116",2002,26.62583,3.94433,128,"H5"
"117",2002,26.60867,4.053,118,"CO3"
"118",2002,27.5085,3.76383,495,"LL6"
"119",2002,27.6395,3.935,132,"H6"
"120",2002,27.6625,3.97683,132,"L4"
"121",2003,27.4,3.75,1320,"LL6"
"122",2004,27.4114,3.70467,14764,"H4"
"123",2002,27.76667,4.41667,849,"H5"
"124",2002,27.7,4.45,292,"L6"
"125",2002,27.63333,3.93333,101,"H5"
"126",2004,27.36017,3.7,200,"L5"
"127",2004,27.558,4.015,177,"H4-6"
"128",2004,27.61667,3.86667,1072,"H4"
"129",2004,27.504,3.68167,397,"H5"
"130",2004,27.5025,3.693,578,"H4"
"131",2004,27.59617,4.172,388,"H4"
"132",2001,27.51867,3.88033,364,"CR2"
"133",2001,27.50917,3.88767,394,"CR2"
"134",2001,27.512,3.89783,148,"CR2"
"135",2001,27.509,3.89583,105,"CR2"
"136",2001,27.50217,3.86083,97,"CR2"
"137",2001,27.50267,3.8725,89,"CR2"
"138",2001,27.50083,3.86617,101,"CR2"
"139",2002,27.68917,4.44267,9,"L5"
"140",2005,22.9935,-10.15367,259.3,"LL3.2"
"141",2001,20.5,9,360,"EL5"
"142",2003,19.64008,9.35545,926,"L6"
"143",2002,18.61042,10.4941,2200,"LL3"
"144",2002,17.67987,10.03503,2730,"H5"
"145",2000,31.98457,-5.51528,1e+05,"Iron, IIAB"
"146",2000,30.55,-4.9,82,"Eucrite"
"147",2001,27.4,4.35,1000,"L6"
"148",2005,30.70952,28.9698,13.31,"H5"
"149",2006,27.5,-12.5,3e+06,"Aubrite"
"150",2000,19.42,57.18833,41.5,"L4"
"151",2000,19.27167,57.38667,81.4,"H5"
"152",2002,19.50695,57.11952,115.42,"L4"
"153",2002,19.54482,57.09807,260.22,"L5"
"154",2002,19.84057,57.00848,763.29,"L6"
"155",2002,19.84067,57.00842,1861.21,"L6"
"156",2002,19.84128,57.00953,1042.7,"L5"
"157",2002,19.84203,57.00747,1074.3,"L6"
"158",2002,19.8423,57.00013,39.83,"H4"
"159",2002,19.86785,57.0028,41539.3,"L6"
"160",2002,19.86607,57.0032,8056,"L6"
"161",2003,19.80252,57.32137,402.75,"L6"
"162",2002,19.60308,57.03332,1066.2,"H4"
"163",2003,19.80252,57.32137,402.75,"L6"
"164",2001,19.65675,57.0433,1319.4,"H~5"
"165",2001,19.61287,57.27038,854.7,"H~5"
"166",2001,19.61612,57.2698,2936.5,"L~6"
"167",2001,19.64073,57.28857,1865.6,"H4"
"168",2001,19.66453,57.3334,124,"H5"
"169",2001,19.53112,57.08427,105.3,"H5"
"170",2001,19.3421,57.1693,97.7,"L~6"
"171",2001,19.31468,57.27343,362.7,"L~3"
"172",2001,19.40518,57.26818,913.1,"L~6"
"173",2001,19.40772,57.29878,50.7,"H~4"
"174",2006,19.44533,57.02345,591.8,"L6"
"175",2002,19.40412,57.27497,12834,"H4"
"176",2007,19.32092,57.22977,2084.16,"L6"
"177",2007,19.51053,57.1292,150.057,"L4"
"178",2009,19.22597,57.54063,61.6,"H4"
"179",2009,19.14025,57.58427,165.4,"L3"
"180",2009,19.26795,57.13412,250.5,"H4/5"
"181",2009,19.18798,57.10978,2632.8,"L4"
"182",2009,22.80487,55.32742,3150.5,"LL6"
"183",2009,22.79853,55.31673,690.5,"LL6"
"184",2010,22.74862,55.37323,273.05,"L4-6"
"185",2010,22.74733,55.39522,141.51,"H5"
"186",2010,22.73342,55.33122,1228.1,"L(LL)3.5-3.7"
"187",2010,22.73743,55.3191,16.41,"L6"
"188",2010,22.73393,55.3204,1.56,"L6"
"189",2010,22.73797,55.32125,356.2,"H4"
"190",2010,22.75747,55.41402,3407.8,"H6"
"191",2010,22.74868,55.47218,1411.8,"Achondrite-ung"
"192",2010,22.75978,55.3908,112.76,"L4-5"
"193",2010,22.67752,55.34027,4694.9,"H5"
"194",2010,22.68423,55.33652,55.51,"H6"
"195",2010,22.68598,55.32092,45.52,"H6"
"196",2010,22.68922,55.32087,35.3,"H6"
"197",2010,22.69813,55.3336,1330.9,"H5"
"198",2010,22.73852,55.36247,439.58,"L6"
"199",2007,40.33333,81.25,1.7,"LL5"
"200",2007,40.33333,81.25,1.1,"LL5"
"201",2006,-76.71695,158.76862,128.1,"H5"
"202",2006,-76.74253,158.84305,119.2,"H~5"
"203",2006,-76.71128,158.79283,25,"H~5"
"204",2006,-76.70522,158.77838,61.7,"H~5"
"205",2006,-76.70522,158.77838,6,"H~5"
"206",2006,-76.70558,158.77587,280.9,"H~5"
"207",2006,-76.70552,158.77583,226.3,"H5"
"208",2006,-76.70552,158.77485,120,"H~5"
"209",2006,-76.71215,158.77527,28.6,"H~5"
"210",2006,-76.71263,158.77862,1.08,"H~5"
"211",2006,-76.71255,158.7786,24.3,"H~5"
"212",2006,-76.71733,158.77398,91,"H5"
"213",2009,-76.74403,159.37238,0.5,"L5/6"
"214",2009,-76.74245,159.37458,71.6,"L6"
"215",2009,-76.74245,159.37458,15.5,"L6"
"216",2009,0,0,221.7,"Howardite"
"217",2009,0,0,122.3,"L5"
"218",2009,0,0,104.3,"H5"
"219",2009,0,0,31.3,"H5"
"220",2009,0,0,24.8,"L6"
"221",2009,0,0,2.6,"L3.4"
"222",2009,0,0,14.2,"LL6"
"223",2009,0,0,18.1,"L6"
"224",2009,0,0,25.5,"L6"
"225",2009,0,0,30.2,"L5"
"226",2010,0,0,444.1,"L5"
"227",2010,0,0,218.9,"L6"
"228",2010,0,0,60.3,"H6"
"229",2000,-76.76098,159.45252,103.4,"LL3"
"230",2006,32.73458,-2.95797,5.92,"Lunar"
"231",2000,31.66667,-4.06667,195,"Eucrite-mmict"
"232",2001,29.06,74.44,4460,"L5"
"233",2001,38.68867,-109.58517,534,"L5"
"234",2002,18.673,7.34225,20.1,"H5"
"235",2008,29.35944,14.25528,14566,"H4"
"236",2008,29.37972,14.26972,11953,"L5/6"
"237",2008,29.35833,14.24833,2900,"H4"
"238",2008,29.36583,14.27611,15750,"L6"
"239",2010,29.3945,14.29233,335,"H4"
"240",2002,19.26667,5.91667,4400,"Iron, IVA-an"
"241",2010,34.38063,-114.16705,560.8,"H6"
"242",2002,17.75793,53.99032,442.26,"H6"
"243",2002,46.7,113.28333,25.9,"H5"
"244",2000,-80.25,153.5,124.6,"Eucrite-unbr"
"245",2000,-80.25,153.5,33.8,"H3.3"
"246",2000,-80.25,153.5,37.1,"H3.3"
"247",2000,-80.25,153.5,15.8,"H3.3"
"248",2000,-80.25,153.5,709,"L6"
"249",2000,-80.25,153.5,316.4,"H5"
"250",2000,-80.25,153.5,66.95,"L5"
"251",2000,-80.25,153.5,130.05,"H6"
"252",2000,-80.25,153.5,10.7,"L5"
"253",2000,-80.25,153.5,24.1,"L5"
"254",2000,-80.25,153.5,20.61,"LL6"
"255",2007,55.54867,35.2995,4620,"L5"
"256",2002,50.43845,-95.52937,9162,"Iron, IAB-MG"
"257",2001,45.4633,55.23497,45,"H6"
"258",2009,-31.01667,131.31667,103.4,"L4"
"259",2006,33.71333,-113.275,91.9,"H4"
"260",2008,31.481,9.84069,627,"H6"
"261",2008,31.93833,10.28403,331,"L4/5"
"262",2008,31.49972,9.87722,39,"H3"
"263",2008,31.87164,10.19361,19,"H6"
"264",2008,31.89689,10.19572,17,"H4"
"265",2008,31.89831,10.19528,21,"H6"
"266",2008,31.92181,10.1875,5.2,"L6"
"267",2008,31.92644,10.18961,200,"H6"
"268",2008,31.92644,10.18961,21,"H5-6"
"269",2003,40.86717,-119.18352,152,"L6"
"270",2002,-25,-69.5,15600,"Iron, IAB complex"
"271",2006,38.66167,-115.51833,70,"R3-6"
"272",2002,35.8675,-114.19167,3650,"L6"
"273",2000,40.2495,-118.93683,6.1,"Eucrite-mmict"
"274",2001,40.27957,-118.94642,451.7,"H5"
"275",2006,40.2628,-118.95912,83.8,"H6"
"276",2009,40.2819,-118.94693,37.2,"H5"
"277",2010,31.15643,-5.15262,1e+05,"H5"
"278",2001,26.6325,-12.81025,130,"H6"
"279",2010,26.74853,-12.70978,606,"L5"
"280",2010,26.81089,-12.71864,50,"L6"
"281",2010,26.707,-12.759,272.75,"Eucrite-mmict"
"282",2010,26.819,-12.724,31.14,"CM2"
"283",2009,31.98333,-3.2,1395,"L6"
"284",2008,34.685,-114.323,1560,"L5"
"285",2004,33.96667,-114.06667,147.4,"L4-6"
"286",2004,34.72453,-114.20883,798,"H3-5"
"287",2004,34.73245,-114.22257,50,"H6"
"288",2004,34.71933,-114.20783,18.4,"L6"
"289",2005,34.7345,-114.21717,34200,"L6"
"290",2005,34.70108,-114.18845,145.8,"H3-6"
"291",2007,34.70337,-114.19097,859.7,"L6"
"292",2010,0,0,374.5,"L6"
"293",2010,0,0,879.9,"L6"
"294",2010,0,0,486,"CR2"
"295",2010,0,0,472.2,"L6"
"296",2010,0,0,362.4,"L6"
"297",2010,0,0,335.2,"L5"
"298",2010,0,0,234.6,"L6"
"299",2010,0,0,288,"L5"
"300",2010,0,0,143.9,"L6"
"301",2010,0,0,161.7,"H6"
"302",2010,0,0,118.8,"L6"
"303",2010,0,0,95.4,"L6"
"304",2010,0,0,27.8,"CO3"
"305",2010,0,0,39.7,"CK4"
"306",2010,0,0,80.3,"H6"
"307",2010,0,0,28.3,"L5"
"308",2010,0,0,47.2,"H5"
"309",2010,0,0,41.6,"L6"
"310",2010,0,0,22.6,"L6"
"311",2010,0,0,10.3,"H6"
"312",2010,0,0,26.1,"L6"
"313",2010,0,0,5.8,"L6"
"314",2010,0,0,7.9,"H4"
"315",2010,0,0,22.7,"L6"
"316",2010,0,0,15.1,"L6"
"317",2010,0,0,20.4,"H5"
"318",2010,0,0,4.9,"L6"
"319",2010,0,0,0.1,"LL6"
"320",2010,0,0,0.3,"H6"
"321",2003,32.24611,-99.99306,9300,"Iron, IAB-ung"
"322",2002,38.84833,-98.72383,28000,"L6"
"323",2003,39.86667,-106.88333,18400,"Iron, IIIAB"
"324",2010,-24.266,-70.03333,9,"H6"
"325",2010,-24.25,-70.51667,18,"H6"
"326",2010,-24.25,-70.51667,338,"H5"
"327",2010,-24.25,-70.51667,254,"H5"
"328",2010,-24.25,-70.51667,193,"H5"
"329",2010,-24.25,-70.51667,179,"L6"
"330",2010,-24.25,-70.51667,24,"L6"
"331",2010,-24.25,-70.51667,15,"H6"
"332",2010,-24.25,-70.51667,95,"L4"
"333",2010,-24.25,-70.51667,47,"L4"
"334",2010,-24.25,-70.51667,32,"L6"
"335",2010,-24.25,-70.51667,17,"L4"
"336",2010,-24.25,-70.51667,105,"L4"
"337",2010,-24.25,-70.51667,20,"H4"
"338",2010,-24.25,-70.51667,115,"L6"
"339",2010,-24.25,-70.51667,34,"H5"
"340",2010,-24.25,-70.51667,41,"H5"
"341",2010,-24.25,-70.51667,6,"H5"
"342",2010,-24.25,-70.51667,1.1,"H6"
"343",2008,-30.31667,126.61667,579,"LL5-6"
"344",2009,33.88098,-111.78558,3016,"H4"
"345",2004,20.12593,10.2056,38000,"H5"
"346",2000,32.91745,-114.767183,2860,"CO3"
"347",2003,44.495,11.35556,120,"L5"
"348",2010,-25.23333,-69.71667,61.1,"LL3"
"349",2010,-25.23333,-69.71667,37.5,"Mesosiderite"
"350",2010,-25.23333,-69.71667,228,"H4"
"351",2010,-25.23333,-69.71667,19.5,"H5/6"
"352",2010,-25.23333,-69.71667,11.9,"H4"
"353",2010,-25.23333,-69.71667,329,"L~5"
"354",2010,-25.23333,-69.71667,573,"H~5"
"355",2010,-25.23333,-69.71667,225,"H6"
"356",2010,-25.23333,-69.71667,428,"H4"
"357",2010,-25.23333,-69.71667,191,"H4"
"358",2009,-25.23333,-69.71667,239,"L5"
"359",2010,-25.23333,-69.71667,647,"H4"
"360",2010,-25.23333,-69.71667,426,"H5"
